OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
32;1;1114;"Bohumil";"Ježek";"Ing.";"";43;"pedagog, èlen zastupitelstva Ústeckého kraje";"Ústí nad Labem";554804;1114;1114;"A";765;4.87;4.87758224942616;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
32;2;768;"Zuzana";"Schwarz Baøtipánová";"Mgr.";"";42;"starostka mìsta Bílina";"Bílina";567451;768;768;"A";1535;9.78;9.7870441213976;0;0;0;0;0;0;0;"ANO 2011"
32;3;137;"Eugen Sigismund";"Freimann";"PhDr. ThDr. Mgr.";"Ph.D., M.A.";59;"vysokoškolský pedagog";"Teplice";567442;99;137;"A";160;1.02;1.02014792144861;0;0;0;0;0;0;0;"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty"
32;4;47;"Oldøich";"Bubeníèek";"";"";67;"novináø, hejtman Ústeckého kraje";"Bílina";567451;47;47;"A";2567;16.36;16.36699821474113;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
32;5;53;"Hynek";"Hanza";"Bc.";"";42;"primátor mìsta Teplice";"Teplice";567442;53;53;"A";4663;29.73;29.73093598571792;2;0;5302;57.17;57.17058442958809;1;0;"Obèanská demokratická strana"
32;6;166;"Jana";"Syslová";"";"";46;"starostka";"Hrobèice";567566;166;166;"A";1055;6.72;6.72660035705177;0;0;0;0;0;0;0;"STAROSTOVÉ A NEZÁVISLÍ"
32;8;1227;"Zdenìk";"Pešek";"Ing. Mgr.";"MBA";60;"øeditel Støední školy obchodu a služeb Teplice";"Teplice";567442;1227;1227;"A";551;3.51;3.51313440448865;0;0;0;0;0;0;0;"Trikolóra hnutí obèanù"
32;9;1187;"Zdenìk";"Bergman";"RNDr.";"";60;"øeditel gymnázia";"Teplice";567442;99;1187;"A";3475;22.15;22.15633766896199;2;0;3972;42.82;42.8294155704119;0;0;"SENÁTOR 21"
32;10;7;"Zbynìk";"Šimbera";"Mgr.";"";56;"starosta";"Duchcov";567515;7;7;"A";913;5.82;5.82121907676613;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
32;11;720;"Tomáš";"Tožièka";"Mgr.";"";53;"odborník na regionální rozvoj, boxer";"Praha 3";500097;99;720;"N";0;0;0;0;0;0;0;0;0;0;"Èeská pirátská strana"
