datum,obvod,vitez,strana
20190413,24,David Smoljak,STAN
20200613,32,Hynek Hanza,ODS
20201010,3,Miroslav Plevný,STAN
20201010,6,Ivo Trešl,STAN
20201010,9,Lumír Aschenbrenner,ODS
20201010,12,Tomáš Fiala,ODS
20201010,15,Jaroslav Chalupský,Svobodní
20201010,18,Petr Štěpánek,STAN
20201010,21,Václav Láska,SEN 21
20201010,24,David Smoljak,STAN
20201010,27,Miroslava Němcová,ODS
20201010,30,Adéla Šípová,Piráti
20201010,33,Zbyněk Linhart,STAN
20201010,36,Jiří Vosecký,SLK
20201010,39,Jan Sobotka,STAN
20201010,42,Pavel Kárník,STAN
20201010,45,Jan Holásek,HDK
20201010,48,Jan Grulich,TOP 09
20201010,51,Josef Klement,KDU-ČSL
20201010,54,Tomáš Třetina,TOP 09
20201010,57,Karel Zitterbart,STAN
20201010,60,Roman Kraus,ODS
20201010,63,Jitka Seitlová,KDU-ČSL
20201010,66,Marek Ošťádal,STAN
20201010,69,Helena Pešatová,STAN
20201010,72,Ondřej Šimetka,ODS
20201010,75,Ondřej Feber,ANO
20201010,78,Tomáš Goláň,SEN 21
20201010,81,Josef Bazala,KDU-ČSL
20221001,1,Věra Procházková,ANO
20221001,4,Jan Paparega,ProMOST
20221001,7,Daniela Kovářová,NK
20221001,10,Tomáš Jirsa,ODS
20221001,13,Marek Slabý,T2020
20221001,16,Jiří Oberfalzer,ODS
20221001,19,Hana Kordová Marvanová,ODS
20221001,22,Jan Pirk,TOP 09
20221001,25,Jiří Růžička,TOP 09
20221001,28,Jarmila Smotlachová,ODS
20221001,31,Martin Krsek,SEN 21
20221001,34,Michael Canov,SLK
20221001,37,Tomáš Czernin,TOP 09
20221001,40,Bohuslav Procházka,KDU-ČSL
20221001,43,Miluše Horská,KDU-ČSL
20221001,46,Petr Fiala,KDU-ČSL
20221001,49,Jaromíra Vítková,KDU-ČSL
20221001,52,Miloš Vystrčil,ODS
20221001,55,Tomáš Töpfer,ODS
20221001,58,Jiří Dušek,ODS
20221001,61,Lumír Kantor,KDU-ČSL
20221001,64,Ladislav Václavec,ANO
20221001,67,Ivana Váňová,KDU-ČSL
20221001,70,Zdeněk Nytra,ODS
20221001,73,Zdeněk Matušek,ANO
20221001,76,Jana Zwyrtek Hamplová,NEZ
20221001,79,Eva Rajchmanová,KDU-ČSL
